wind_speed,clouds,day,month,condition_main,condition_description,condition_icon,average_feel,expected_percipitation,pop,zip_code
10.2,0,23,7,Clear,clear sky,01d,63.13000000000001,0.0,0.0,98583
9.01,0,24,7,Clear,clear sky,01d,67.205,0.0,0.0,98583
11.81,0,25,7,Clear,clear sky,01d,62.15,0.0,0.0,98583
10.09,0,26,7,Clear,clear sky,01d,59.1175,0.0,0.0,98583
11.16,1,19,7,Clear,clear sky,01d,70.19,0.0,0.0,98661
10.96,7,20,7,Clear,clear sky,01d,66.7525,0.0,0.0,98661
10.94,0,21,7,Clear,clear sky,01d,62.81999999999999,0.0,0.0,98661
9.91,1,22,7,Clear,clear sky,01d,66.4225,0.0,0.0,98661
9.17,0,23,7,Clear,clear sky,01d,68.865,0.0,0.0,98661
9.91,0,24,7,Clear,clear sky,01d,72.535,0.0,0.0,98661
10.96,0,25,7,Clear,clear sky,01d,68.39999999999999,0.0,0.0,98661
8.39,83,26,7,Clouds,broken clouds,04d,64.9525,0.0,0.0,98661
8.55,0,19,7,Clear,clear sky,01d,59.3975,0.0,0.0,98357
12.15,97,20,7,Clouds,overcast clouds,04d,55.970000000000006,0.0,0.0,98357
11.25,8,21,7,Clear,clear sky,01d,55.6075,0.0,0.0,98357
13.18,12,22,7,Clouds,few clouds,02d,55.377500000000005,0.0,0.0,98357
11.48,6,23,7,Clear,clear sky,01d,56.425000000000004,0.0,0.0,98357
11.34,15,24,7,Clouds,few clouds,02d,57.847500000000004,0.0,0.0,98357
13.87,99,25,7,Rain,light rain,10d,55.16,0.046000000000000006,20.0,98357
11.68,10,26,7,Clear,clear sky,01d,54.9575,0.0,0.0,98357
8.61,1,19,7,Clear,clear sky,01d,67.3775,0.0,0.0,98107
8.75,88,20,7,Clouds,overcast clouds,04d,62.4925,0.0,4.0,98107
9.13,52,21,7,Clouds,broken clouds,04d,60.417500000000004,0.0,0.0,98107
9.48,1,22,7,Clear,clear sky,01d,60.629999999999995,0.0,0.0,98107
8.61,2,23,7,Clear,clear sky,01d,62.9225,0.0,0.0,98107
8.88,2,24,7,Clear,clear sky,01d,66.9075,0.0,0.0,98107
9.01,3,25,7,Clear,clear sky,01d,65.38,0.0,0.0,98107
7.85,2,26,7,Clear,clear sky,01d,63.2475,0.0,0.0,98107
10.71,100,19,7,Clouds,overcast clouds,04d,77.26,0.0,0.0,99130
10.27,100,20,7,Rain,light rain,10d,73.315,1.2126,86.0,99130
18.88,0,21,7,Rain,light rain,10d,70.675,0.645,86.0,99130
16.33,0,22,7,Clear,clear sky,01d,65.445,0.0,0.0,99130
11.21,0,23,7,Clear,clear sky,01d,70.38,0.0,0.0,99130
6.69,0,24,7,Clear,clear sky,01d,75.845,0.0,0.0,99130
14.72,32,25,7,Clouds,scattered clouds,03d,77.58,0.0,0.0,99130
13.02,69,26,7,Clouds,broken clouds,04d,70.7,0.0,0.0,99130
16.8,54,19,7,Clouds,broken clouds,04d,83.7675,0.0,0.0,99319
16.91,0,20,7,Clear,clear sky,01d,78.395,0.0,0.0,99319
23.73,0,21,7,Clear,clear sky,01d,72.995,0.0,0.0,99319
17.69,0,22,7,Clear,clear sky,01d,74.1775,0.0,0.0,99319
11.72,0,23,7,Clear,clear sky,01d,79.555,0.0,0.0,99319
9.51,0,24,7,Clear,clear sky,01d,84.04249999999999,0.0,0.0,99319
22.82,0,25,7,Clear,clear sky,01d,82.03750000000001,0.0,0.0,99319
11.61,100,26,7,Clouds,overcast clouds,04d,77.735,0.0,0.0,99319
12.08,1,19,7,Clear,clear sky,01d,68.3975,0.0,0.0,98438
10.29,55,20,7,Clouds,broken clouds,04d,63.65250000000001,0.0,2.0,98438
11.68,36,21,7,Clouds,scattered clouds,03d,60.845000000000006,0.0,0.0,98438
8.1,3,22,7,Clear,clear sky,01d,63.0625,0.0,0.0,98438
8.08,0,23,7,Clear,clear sky,01d,66.81,0.0,0.0,98438
7.76,0,24,7,Clear,clear sky,01d,71.145,0.0,0.0,98438
8.84,12,25,7,Clouds,few clouds,02d,67.0425,0.0,0.0,98438
7.74,38,26,7,Clouds,scattered clouds,03d,64.4725,0.0,0.0,98438
11.56,1,19,7,Clear,clear sky,01d,70.32749999999999,0.0,0.0,98424
9.89,48,20,7,Clouds,scattered clouds,03d,65.5225,0.0,4.0,98424
11.43,37,21,7,Clouds,scattered clouds,03d,62.42,0.0,0.0,98424
10.07,3,22,7,Clear,clear sky,01d,64.325,0.0,0.0,98424
9.35,0,23,7,Clear,clear sky,01d,67.685,0.0,0.0,98424
8.63,0,24,7,Clear,clear sky,01d,72.125,0.0,0.0,98424
6.58,12,25,7,Clouds,few clouds,02d,69.36250000000001,0.0,0.0,98424
7.07,44,26,7,Clouds,scattered clouds,03d,66.9775,0.0,0.0,98424
9.17,1,19,7,Clear,clear sky,01d,67.97749999999999,0.0,0.0,98430
7.23,16,20,7,Clouds,few clouds,02d,62.7325,0.0,1.0,98430
9.66,9,21,7,Clear,clear sky,01d,59.192499999999995,0.0,0.0,98430
8.5,10,22,7,Clear,clear sky,01d,60.772499999999994,0.0,0.0,98430
8.34,0,23,7,Clear,clear sky,01d,65.4125,0.0,0.0,98430
8.21,0,24,7,Clear,clear sky,01d,69.8725,0.0,0.0,98430
6.96,1,25,7,Clear,clear sky,01d,65.835,0.0,0.0,98430
5.44,48,26,7,Clouds,scattered clouds,03d,63.1375,0.0,0.0,98430
9.17,1,19,7,Clear,clear sky,01d,67.97749999999999,0.0,0.0,98464
7.23,16,20,7,Clouds,few clouds,02d,62.7325,0.0,1.0,98464
9.66,9,21,7,Clear,clear sky,01d,59.192499999999995,0.0,0.0,98464
8.5,10,22,7,Clear,clear sky,01d,60.772499999999994,0.0,0.0,98464
8.34,0,23,7,Clear,clear sky,01d,65.4125,0.0,0.0,98464
8.21,0,24,7,Clear,clear sky,01d,69.8725,0.0,0.0,98464
6.96,1,25,7,Clear,clear sky,01d,65.835,0.0,0.0,98464
5.44,48,26,7,Clouds,scattered clouds,03d,63.1375,0.0,0.0,98464
10.18,2,19,7,Clear,clear sky,01d,65.145,0.0,0.0,98226
11.52,67,20,7,Clouds,broken clouds,04d,60.032500000000006,0.0,0.0,98226
11.79,54,21,7,Clouds,broken clouds,04d,57.9425,0.0,0.0,98226
10.94,5,22,7,Clear,clear sky,01d,57.669999999999995,0.0,0.0,98226
5.17,8,23,7,Clear,clear sky,01d,60.59,0.0,0.0,98226
5.7,9,24,7,Clear,clear sky,01d,64.0,0.0,0.0,98226
13.04,1,25,7,Clear,clear sky,01d,60.7775,0.0,0.0,98226
9.24,7,26,7,Clear,clear sky,01d,59.035,0.0,0.0,98226
10.16,0,19,7,Clear,clear sky,01d,59.835,0.0,0.0,98536
12.95,67,20,7,Clouds,broken clouds,04d,57.445,0.0,0.0,98536
12.71,60,21,7,Clouds,broken clouds,04d,56.495,0.0,0.0,98536
15.12,23,22,7,Clouds,few clouds,02d,56.615,0.0,0.0,98536
15.84,2,23,7,Clear,clear sky,01d,58.0325,0.0,0.0,98536
17.16,32,24,7,Clouds,scattered clouds,03d,59.8925,0.0,0.0,98536
19.46,26,25,7,Clouds,scattered clouds,03d,57.97,0.0,0.0,98536
16.49,10,26,7,Clear,clear sky,01d,56.635,0.0,0.0,98536
8.14,16,19,7,Clouds,few clouds,02d,80.24,0.0,0.0,99107
9.4,0,20,7,Clear,clear sky,01d,75.42,0.0,0.0,99107
10.71,3,21,7,Clear,clear sky,01d,71.16999999999999,0.0,0.0,99107
6.15,0,22,7,Clear,clear sky,01d,67.8675,0.0,0.0,99107
4.72,2,23,7,Clear,clear sky,01d,71.4425,0.0,0.0,99107
5.14,0,24,7,Clear,clear sky,01d,76.3,0.0,0.0,99107
9.6,0,25,7,Clear,clear sky,01d,77.095,0.0,0.0,99107
